daerah,provinsi,jenis,periode,pendapatan_daerah,pendapatan_asli_daerah,hasil_pajak_daerah,hasil_retribusi_daerah,hasil_pengelolaan_kekayaan_daerah_yang_dipisahkan,lain_lain_pendapatan_asli_daerah_yang_sah,dana_perimbangan,dana_bagi_hasil_pajak_bagi_hasil_bukan_pajak,dana_alokasi_umum,dana_alokasi_khusus,lain_lain_pendapatan_daerah_yang_sah,pendapatan_hibah,dana_darurat,dana_bagi_hasil_pajak_dari_provinsi_dan_pemerintah_daerah_lainnya,dana_penyesuaian_dan_otonomi_khusus,bantuan_keuangan_dari_provinsi_atau_pemerintah_daerah_lainnya,pendapatan_lain_lain,belanja_daerah,belanja_pegawai_l,belanja_barang_dan_jasa,belanja_modal
Kab Aceh Barat,Aceh,Anggaran,2018-07-05,1251178000000,164141000000,16170000000,9410000000,4916000000,133644000000,782044000000,21953000000,570764000000,189327000000,304994000000,24470000000,0,24441000000,256083000000,0,0,1278780000000,44406000000,269874000000,190236000000
Kab Aceh Besar,Aceh,Anggaran,2018-07-05,1662846000000,132396000000,60500000000,5910000000,3500000000,62487000000,977082000000,22236000000,713345000000,241502000000,553368000000,31670000000,0,29527000000,412171000000,80000000000,0,1757856000000,95356000000,280613000000,237275000000
Kab Aceh Selatan,Aceh,Anggaran,2018-07-05,1396406000000,165862000000,10570000000,9346000000,5200000000,140746000000,983548000000,17732000000,641605000000,324211000000,246995000000,618000000,0,30141000000,216237000000,0,0,1410406000000,37773000000,269685000000,233604000000
Kab Aceh Singkil,Aceh,Anggaran,2018-07-05,785724000000,55233000000,10645000000,25836000000,3378000000,15374000000,598216000000,18482000000,441266000000,138468000000,132275000000,20702000000,0,20609000000,90964000000,0,0,794579000000,56232000000,199412000000,118184000000
Kab Aceh Tengah,Aceh,Anggaran,2018-07-05,1286924000000,183064000000,11374000000,12565000000,5300000000,153826000000,841794000000,16607000000,603737000000,221449000000,262065000000,0,0,29389000000,232677000000,0,0,1287177000000,108942000000,223534000000,188295000000
Kab Aceh Tenggara,Aceh,Anggaran,2018-07-05,1168068000000,73908000000,11715000000,2115000000,3000000000,57078000000,799735000000,14301000000,586091000000,199342000000,294425000000,0,0,42186000000,252239000000,0,0,1257654000000,57084000000,165114000000,221521000000
Kab Aceh Timur,Aceh,Anggaran,2018-07-05,1655592000000,178907000000,8397000000,18248000000,2200000000,150063000000,1052059000000,66885000000,786035000000,199139000000,424626000000,5000000,0,59373000000,365248000000,0,0,1659558000000,121708000000,294083000000,140371000000
Kab Aceh Utara,Aceh,Anggaran,2018-07-05,2339453000000,358699000000,25109000000,4667000000,20015000000,308908000000,1366707000000,146737000000,847191000000,372779000000,614047000000,0,0,51812000000,562235000000,0,0,2350178000000,91433000000,406460000000,247243000000
Kab Bireun,Aceh,Anggaran,2018-07-05,1815023000000,200171000000,20937000000,12066000000,4950000000,162217000000,1096715000000,20748000000,802619000000,273348000000,518136000000,54715000000,0,38371000000,425050000000,0,0,1836717000000,102755000000,317644000000,193562000000
Kab Pidie,Aceh,Anggaran,2018-07-05,2035567000000,327643000000,17124000000,58754000000,3101000000,248663000000,1123480000000,18828000000,794949000000,309703000000,584443000000,42793000000,42808000000,498843000000,0,0,0,2202719000000,158218000000,419859000000,289461000000
Kab Simeulue,Aceh,Anggaran,2018-07-05,821754000000,47764000000,4646000000,2284000000,4202000000,36632000000,599102000000,13592000000,444555000000,140955000000,174889000000,13500000000,0,15990000000,145399000000,0,0,835164000000,75948000000,211290000000,134077000000
Kota Banda Aceh,Aceh,Anggaran,2018-07-05,1210550000000,294414000000,70410000000,29331000000,1100000000,193572000000,771484000000,49810000000,591712000000,129962000000,144652000000,0,0,29193000000,99965000000,0,15495000000,1213750000000,98721000000,412378000000,83314000000
Kota Sabang,Aceh,Anggaran,2018-07-05,613999000000,46609000000,4920000000,12897000000,2006000000,26786000000,497775000000,12745000000,350863000000,134167000000,69615000000,4569000000,0,11132000000,53914000000,0,0,654944000000,63955000000,177195000000,125324000000
Kota Langsa,Aceh,Anggaran,2018-07-05,681844000000,125635000000,12425000000,5287000000,619000000,107303000000,464209000000,20197000000,444013000000,0,92000000000,17571000000,0,20448000000,53980000000,0,0,685404000000,78207000000,184089000000,45409000000
Kota Lhokseumawe,Aceh,Anggaran,2018-07-05,786821000000,66523000000,28632000000,4754000000,5740000000,27397000000,620260000000,57839000000,459628000000,102792000000,100039000000,22177000000,0,22614000000,55248000000,0,0,793021000000,47511000000,190182000000,122013000000
Kab Gayo Lues,Aceh,Anggaran,2018-07-05,853469000000,54431000000,4217000000,26637000000,4023000000,19555000000,650307000000,17436000000,462943000000,169928000000,148731000000,0,0,19948000000,127783000000,0,1000000000,852469000000,55992000000,219337000000,189180000000
Kab Aceh Barat Daya,Aceh,Anggaran,2018-07-05,896178000000,89174000000,6000000000,3840000000,1500000000,77834000000,666077000000,13555000000,451310000000,201212000000,140927000000,15654000000,0,19792000000,105480000000,0,0,1131157000000,55062000000,187088000000,390718000000
Kab Aceh Jaya,Aceh,Anggaran,2018-07-05,828068000000,55923000000,4650000000,20810000000,6753000000,23709000000,587911000000,13576000000,421315000000,153020000000,184235000000,12248000000,0,18676000000,153311000000,0,0,846567000000,86005000000,134129000000,133360000000
Kab Nagan Raya,Aceh,Anggaran,2018-07-05,1101759000000,119434000000,19834000000,1027000000,3029000000,95545000000,675785000000,19475000000,507107000000,149203000000,306540000000,0,0,87966000000,218574000000,0,0,1137443000000,71611000000,209050000000,238265000000
Kab Aceh Tamiang,Aceh,Anggaran,2018-07-05,1175611000000,141815000000,17610000000,5567000000,6365000000,112274000000,796059000000,91076000000,532642000000,172342000000,237737000000,0,0,27285000000,210452000000,0,0,1199611000000,71676000000,340291000000,196195000000
Kab Bener Meriah,Aceh,Anggaran,2018-07-05,915387000000,116273000000,7394000000,9652000000,4500000000,94727000000,585911000000,14986000000,448989000000,121937000000,213203000000,0,0,20434000000,192769000000,0,0,915387000000,76067000000,169520000000,166291000000
Kab Pidie Jaya,Aceh,Anggaran,2018-07-05,858119000000,70000000000,6420000000,41392000000,2700000000,19488000000,618172000000,13386000000,420639000000,184147000000,169947000000,0,0,18708000000,151239000000,0,0,1189530000000,23552000000,200676000000,173327000000
