"Timestamp","wmo","name","history_product","local_date_time","local_date_time_full","aifstime_utc","lat","lon","apparent_t","cloud","cloud_base_m","cloud_oktas","cloud_type_id","cloud_type","delta_t","gust_kmh","gust_kt","air_temp","dewpt","press","press_qnh","press_msl","press_tend","rain_trace","rel_hum","sea_state","swell_dir_worded","swell_height","swell_period","vis_km","weather","wind_dir","wind_spd_kmh","wind_spd_kt","extreme_event"
2020-05-28 21:00:00,94866,"Melbourne Airport","IDV60901","28/09:00pm","20200528210000",20200528110000,-37.7,144.8,5.5,"Mostly clear",1000,1,35,NA,0.8,15,8,9,7.3,1024.7,1024.6,1024.7,"R",0,89,NA,NA,-9999,-9999,40,"Fine","N",15,8,FALSE
2020-05-28 20:30:00,94866,"Melbourne Airport","IDV60901","28/08:30pm","20200528203000",20200528103000,-37.7,144.8,7,"Mostly clear",1350,2,6,"Stratocumulus",1.1,13,7,10,7.7,1024.5,1024.4,1024.5,NA,0,86,NA,NA,-9999,-9999,10,NA,"N",13,7,FALSE
2020-05-28 20:00:00,94866,"Melbourne Airport","IDV60901","28/08:00pm","20200528200000",20200528100000,-37.7,144.8,8.5,"Partly cloudy",1650,3,-9999,NA,1.2,9,5,10.3,7.8,1024.1,1024,1024.1,NA,0,84,NA,NA,-9999,-9999,10,NA,"NNW",7,4,FALSE
2020-05-28 19:30:00,94866,"Melbourne Airport","IDV60901","28/07:30pm","20200528193000",20200528093000,-37.7,144.8,8.9,"Partly cloudy",1650,3,-9999,NA,1.1,17,9,10.6,8.4,1024.2,1024.1,1024.2,NA,0,86,NA,NA,-9999,-9999,10,NA,"N",7,4,FALSE
2020-05-28 19:00:00,94866,"Melbourne Airport","IDV60901","28/07:00pm","20200528190000",20200528090000,-37.7,144.8,8.9,"Cloudy",1920,8,-9999,NA,1.8,15,8,11.8,8.1,1023.8,1023.7,1023.8,NA,0,78,NA,NA,-9999,-9999,10,NA,"N",13,7,FALSE
2020-05-28 18:30:00,94866,"Melbourne Airport","IDV60901","28/06:30pm","20200528183000",20200528083000,-37.7,144.8,9.5,"Mostly clear",1200,1,6,"Stratocumulus",2.5,17,9,12.9,7.8,1023.5,1023.4,1023.5,NA,0,71,NA,NA,-9999,-9999,10,NA,"N",15,8,FALSE
2020-05-28 18:00:00,94866,"Melbourne Airport","IDV60901","28/06:00pm","20200528180000",20200528080000,-37.7,144.8,8.9,"Mostly cloudy",1500,7,35,NA,1.6,9,5,11.1,7.8,1023.1,1023.1,1023.1,"R",0,80,NA,NA,-9999,-9999,30,"Fine","N",9,5,FALSE
2020-05-28 17:30:00,94866,"Melbourne Airport","IDV60901","28/05:30pm","20200528173000",20200528073000,-37.7,144.8,8.4,"Partly cloudy",1980,3,-9999,NA,1.4,13,7,10.9,8,1022.8,1022.8,1022.8,NA,0,82,NA,NA,-9999,-9999,10,NA,"NNE",11,6,FALSE
2020-05-28 17:00:00,94866,"Melbourne Airport","IDV60901","28/05:00pm","20200528170000",20200528070000,-37.7,144.8,10.1,"Mostly clear",1200,1,6,"Stratocumulus",2,11,6,12.2,8.1,1022.4,1022.4,1022.4,NA,0,76,NA,NA,-9999,-9999,10,NA,"N",9,5,FALSE
2020-05-28 16:30:00,94866,"Melbourne Airport","IDV60901","28/04:30pm","20200528163000",20200528063000,-37.7,144.8,11.2,"Mostly clear",1200,2,6,"Stratocumulus",2.8,15,8,13.7,8.1,1022.3,1022.3,1022.3,NA,0,69,NA,NA,-9999,-9999,10,NA,"NNW",11,6,FALSE
2020-05-28 16:00:00,94866,"Melbourne Airport","IDV60901","28/04:00pm","20200528160000",20200528060000,-37.7,144.8,11.2,"Partly cloudy",1110,3,6,"Stratocumulus",3.5,26,14,14.9,7.9,1022.2,1022.2,1022.2,NA,0,63,NA,NA,-9999,-9999,10,NA,"NNW",17,9,FALSE
2020-05-28 15:30:00,94866,"Melbourne Airport","IDV60901","28/03:30pm","20200528153000",20200528053000,-37.7,144.8,11.5,"Partly cloudy",1050,3,6,"Stratocumulus",3.6,26,14,15.2,8,1021.9,1021.9,1021.9,NA,0,62,NA,NA,-9999,-9999,10,NA,"NW",17,9,FALSE
2020-05-28 15:00:00,94866,"Melbourne Airport","IDV60901","28/03:00pm","20200528150000",20200528050000,-37.7,144.8,10.8,"Mostly cloudy",1000,7,35,NA,3.9,28,15,15.5,7.7,1021.7,1021.7,1021.7,"R",0,59,NA,NA,-9999,-9999,30,"Fine","WNW",22,12,FALSE
2020-05-28 14:30:00,94866,"Melbourne Airport","IDV60901","28/02:30pm","20200528143000",20200528043000,-37.7,144.8,11.6,"Partly cloudy",1050,3,6,"Stratocumulus",4,32,17,15.9,8,1021.4,1021.4,1021.4,NA,0,59,NA,NA,-9999,-9999,10,NA,"WNW",20,11,FALSE
2020-05-28 14:00:00,94866,"Melbourne Airport","IDV60901","28/02:00pm","20200528140000",20200528040000,-37.7,144.8,12.5,"Partly cloudy",1050,3,6,"Stratocumulus",4.1,24,13,16.2,8.1,1021.1,1021.1,1021.1,NA,0,58,NA,NA,-9999,-9999,10,NA,"NW",17,9,FALSE
2020-05-28 13:30:00,94866,"Melbourne Airport","IDV60901","28/01:30pm","20200528133000",20200528033000,-37.7,144.8,12.3,"Partly cloudy",990,3,6,"Stratocumulus",4.1,28,15,16,7.9,1021.1,1021.1,1021.1,NA,0,58,NA,NA,-9999,-9999,10,NA,"NW",17,9,FALSE
2020-05-28 13:00:00,94866,"Melbourne Airport","IDV60901","28/01:00pm","20200528130000",20200528030000,-37.7,144.8,12.7,"Mostly clear",990,2,6,"Stratocumulus",4.2,26,14,16.4,8.1,1021.3,1021.3,1021.3,NA,0,58,NA,NA,-9999,-9999,10,NA,"NNW",17,9,FALSE
2020-05-28 12:30:00,94866,"Melbourne Airport","IDV60901","28/12:30pm","20200528123000",20200528023000,-37.7,144.8,12,"Mostly clear",1110,1,6,"Stratocumulus",4.2,28,15,16.3,8,1021.4,1021.4,1021.4,NA,0,58,NA,NA,-9999,-9999,10,NA,"N",20,11,FALSE
2020-05-28 12:00:00,94866,"Melbourne Airport","IDV60901","28/12:00pm","20200528120000",20200528020000,-37.7,144.8,13,"Partly cloudy",1000,5,35,NA,3.7,22,12,16.4,9.3,1021.7,1021.7,1021.7,"R",0,63,NA,NA,-9999,-9999,30,"Fine","N",17,9,FALSE
2020-05-28 11:30:00,94866,"Melbourne Airport","IDV60901","28/11:30am","20200528113000",20200528013000,-37.7,144.8,12.8,NA,-9999,-9999,-9999,NA,3.4,17,9,15.5,8.9,1022,1022,1022,NA,0,65,NA,NA,-9999,-9999,10,NA,"NE",13,7,FALSE
2020-05-28 11:00:00,94866,"Melbourne Airport","IDV60901","28/11:00am","20200528110000",20200528010000,-37.7,144.8,11.3,"Mostly clear",810,1,6,"Stratocumulus",2.8,17,9,14.4,8.9,1022.4,1022.4,1022.4,NA,0,69,NA,NA,-9999,-9999,10,NA,"N",15,8,FALSE
2020-05-28 10:30:00,94866,"Melbourne Airport","IDV60901","28/10:30am","20200528103000",20200528003000,-37.7,144.8,11.7,"Partly cloudy",1380,5,-9999,NA,3,17,9,14.5,8.6,1022.6,1022.6,1022.6,NA,0,67,NA,NA,-9999,-9999,10,NA,"N",13,7,FALSE
2020-05-28 10:00:00,94866,"Melbourne Airport","IDV60901","28/10:00am","20200528100000",20200528000000,-37.7,144.8,9,"Mostly clear",1080,1,6,"Stratocumulus",2.4,26,14,13.2,8.4,1022.4,1022.4,1022.4,NA,0,72,NA,NA,-9999,-9999,10,NA,"N",20,11,FALSE
2020-05-28 09:30:00,94866,"Melbourne Airport","IDV60901","28/09:30am","20200528093000",20200527233000,-37.7,144.8,9.2,"Cloudy",1740,8,-9999,NA,2.4,19,10,12.9,8,1022.2,1022.2,1022.2,NA,0,72,NA,NA,-9999,-9999,10,NA,"N",17,9,FALSE
2020-05-28 09:00:00,94866,"Melbourne Airport","IDV60901","28/09:00am","20200528090000",20200527230000,-37.7,144.8,7.8,"Mostly cloudy",1000,6,35,NA,2.5,26,14,12.3,7.1,1022.1,1022.1,1022.1,"R",0,70,NA,NA,-9999,-9999,35,"Fine","N",20,11,FALSE
2020-05-28 08:30:00,94866,"Melbourne Airport","IDV60901","28/08:30am","20200528083000",20200527223000,-37.7,144.8,6.8,"Mostly clear",1440,1,6,"Stratocumulus",1.4,19,10,10.6,7.7,1021.8,1021.8,1021.8,NA,0,82,NA,NA,-9999,-9999,10,NA,"N",17,9,FALSE
2020-05-28 08:00:00,94866,"Melbourne Airport","IDV60901","28/08:00am","20200528080000",20200527220000,-37.7,144.8,6,"Mostly clear",1440,1,6,"Stratocumulus",0.9,19,10,9.7,7.8,1021.6,1021.6,1021.6,NA,0,88,NA,NA,-9999,-9999,10,NA,"N",17,9,FALSE
2020-05-28 07:30:00,94866,"Melbourne Airport","IDV60901","28/07:30am","20200528073000",20200527213000,-37.7,144.8,6.1,"Mostly clear",1440,1,6,"Stratocumulus",1.2,24,13,10.4,7.9,1021.4,1021.4,1021.4,NA,0,84,NA,NA,-9999,-9999,10,NA,"N",20,11,FALSE
